"Name","Registration status","Problem Set 0","Problem Set 1","Problem Set 2","Problem Set 3","Problem Set 4","Problem Set 5","Midterm Assessment","Problem Set 6","Problem Set 7","Problem Set 8","Problem Set 9","Comprehensive Assessment"
"Amy Chen","(08046) Graduate",8,2,3,4,3,2,66,1,3,3,2,55
"Alex James","(82569) Graduate",8,2,4,3,5,6,77,5,4,3,4,59
"John Bayes","(65162) Graduate",8,5,5,4,4,6,77,5,5,5,4,66
"Brian Wilson","(96169) Graduate",8,4,4,3,1,5,72,3,1,4,2,53
"Matthew Thompson","(41437) Undergraduate",8,4,5,5,3,6,55,4,4,4,4,56
"Julie Bayes","(30766) Graduate",8,1,3,4,5,2,71,3,3,4,3,71
"Taylor James","(94132) Undergraduate",8,0,3,3,5,4,55,2,2,2,3,67
"Amy Smith","(22193) Graduate",8,5,3,3,6,4,66,5,5,5,4,78
"Julie Chen","(57171) Undergraduate",8,6,6,5,6,6,65,6,6,6,6,79
"John Davis","(00205) Undergraduate",8,4,3,5,3,4,70,2,3,4,4,63
"Sophie Lopez","(55457) Graduate",8,6,4,5,6,5,56,3,4,3,2,76
"Amy Wilson","(74935) Graduate",8,5,5,6,5,5,63,6,4,6,6,76
"Alex Lopez","(79690) Graduate",8,3,5,5,4,3,80,2,3,4,5,59
"Taylor Wilson","(24840) Graduate",8,2,3,3,2,3,71,2,5,2,4,60
"Bob Davis","(82469) Graduate",8,2,4,1,2,2,62,3,3,2,3,55
"Sophie Davis","(52408) Undergraduate",8,3,5,3,4,4,63,5,4,3,5,67
"Julie Davis","(52186) Undergraduate",8,4,4,4,3,2,63,2,4,3,3,67
"John Thompson","(96929) Graduate",8,3,3,4,3,4,76,2,3,5,2,66
"John Wilson","(08630) Undergraduate",8,3,5,1,2,2,74,3,1,4,3,74
"Angela Davis","(55344) Graduate",8,1,4,4,3,1,68,3,2,3,2,50
"Taylor Bayes","(31881) Graduate",8,6,2,4,4,5,65,3,5,3,5,68
"Alex Smith","(39680) Undergraduate",8,2,4,5,4,4,78,1,4,4,3,72
"Bob Thompson","(70318) Undergraduate",8,5,4,4,4,6,74,6,2,5,5,68
"Alex Wilson","(90389) Undergraduate",8,3,5,2,5,4,76,3,6,4,2,77
"Matthew James","(00739) Graduate",8,3,1,5,2,3,78,4,3,3,3,74
"John Smith","(92124) Graduate",8,6,6,5,5,5,62,6,6,5,6,61
"Angela Smith","(90449) Undergraduate",8,5,4,6,5,5,79,5,6,5,5,62
"Amy Thompson","(54169) Graduate",8,3,4,3,5,2,72,3,5,3,3,59
"John James","(29316) Undergraduate",8,6,5,6,4,6,57,6,5,6,6,61
"John Lopez","(05813) Graduate",8,2,2,4,3,5,72,3,4,4,2,68
"Angela Chen","(49326) Graduate",8,6,6,6,6,6,67,4,6,5,3,60
"Alex Davis","(83389) Graduate",8,5,5,4,4,6,72,5,4,6,4,61
"Julie Wilson","(60904) Graduate",8,6,6,5,6,5,75,6,6,5,6,51
"Bob Wilson","(62812) Graduate",8,4,4,2,2,5,65,4,2,3,3,58
"Amy Lopez","(75387) Undergraduate",8,4,3,3,5,4,77,2,3,3,6,59
"Angela Thompson","(76584) Undergraduate",8,3,6,6,4,4,56,5,4,5,6,77
"Bob Smith","(44655) Undergraduate",8,1,2,5,3,4,74,4,5,3,2,53
"Alex Chen","(28681) Graduate",8,1,3,3,3,3,56,3,4,3,2,65
"Alex Bayes","(52836) Graduate",8,5,6,6,5,6,72,5,5,5,4,64
"Sophie Chen","(89133) Undergraduate",8,4,5,4,2,4,62,4,3,4,5,53
"Brian Bayes","(33809) Undergraduate",8,5,5,4,5,4,59,3,5,5,5,60
"Bob James","(39294) Graduate",8,6,6,2,4,3,71,3,5,4,2,50
"Amy James","(70867) Undergraduate",8,3,2,3,3,4,75,3,4,3,5,67
"Sophie Bayes","(09941) Graduate",8,2,1,2,4,0,70,3,3,3,4,50
"Taylor Lopez","(53073) Graduate",8,3,3,5,5,5,63,3,5,5,4,60
"Taylor Chen","(99114) Undergraduate",8,5,6,4,5,6,69,6,6,4,6,66
"Bob Chen","(87100) Graduate",8,5,3,5,4,4,76,4,5,4,5,62
"Taylor Thompson","(90816) Graduate",8,4,5,4,3,5,65,4,4,4,4,67
"Amy Davis","(78408) Graduate",8,6,5,5,2,3,62,5,6,5,4,57
"Brian Lopez","(10500) Graduate",8,5,6,3,5,4,65,5,4,4,4,54
"Brian James","(16245) Undergraduate",8,5,5,5,5,5,67,6,6,4,6,68
"Julie Smith","(01702) Graduate",8,4,6,3,5,5,80,6,0,2,4,72
"Amy Bayes","(53613) Graduate",8,5,5,5,6,6,66,6,5,6,6,61
"Matthew Wilson","(08960) Graduate",8,2,1,4,2,2,56,3,4,2,3,51
"Bob Lopez","(11400) Undergraduate",8,6,3,5,5,4,74,6,4,3,4,62
"Brian Thompson","(86412) Graduate",8,6,4,3,4,3,55,4,5,3,5,67
"Angela Bayes","(43419) Undergraduate",8,4,2,3,3,4,76,3,3,3,4,68
"Brian Chen","(43356) Graduate",8,4,4,2,3,1,67,4,3,2,3,50
"John Chen","(34430) Graduate",8,4,6,6,5,5,58,6,4,5,6,70
"Sophie Thompson","(08080) Graduate",8,3,3,4,2,3,64,2,1,4,1,77
"Matthew Smith","(94589) Undergraduate",8,6,5,6,6,5,61,5,5,6,6,77
"Taylor Smith","(75077) Graduate",8,3,5,4,3,4,66,4,4,5,4,76
